                    .;10/2024-09/2025;10/2025-09/2026;Minimum 10/2018-09/2021;Maximum 10/2018-09/2021
23.11.;92,49;70,64;84,83;98,72
24.11.;92,47;69,98;84,57;98,78
25.11.;92,40;69,26;84,35;98,71
26.11.;92,22;68,45;83,98;98,68
27.11.;91,97;67,82;83,62;98,76
28.11.;91,72;67,40;83,28;98,81
29.11.;91,24;67,26;83,01;98,80
30.11.;90,91;67,13;82,73;98,70
01.12.;90,64;66,74;82,65;98,57
02.12.;90,26;66,31;82,67;98,45
03.12.;89,80;65,61;82,67;98,41
04.12.;89,28;65,03;82,45;98,33
05.12.;88,86;64,53;82,08;98,17
06.12.;88,60;64,38;81,97;98,00
07.12.;88,46;64,36;81,94;98,07
08.12.;88,30;64,35;82,02;98,21
